rOperationCode,rDocNumber,Invoice_No,Tax_BASE,Tax_CPFM,Tax_difference,Total_Amt_BASE,Total_Amt_CPFM,Total_Amt_difference
111021,102145066001614,2309J10816,117.42,122.85,-5.43,1794.83,1877.85,-83.02
111021,102145066001651,2309J10977,75.69,79.98,-4.29,1157.01,1222.62,-65.61
111021,102145066001634,2309J10900,63.73,67.54,-3.81,974.15,1032.45,-58.3
111380,138045066001465,2309150758,66.41,69.74,-3.33,1015.09,1066.05,-50.96
111008,100845066002440,2309O90774,50.32,53.27,-2.95,769.15,814.28,-45.13
111008,100845066002424,2309O90704,50.85,53.64,-2.79,777.33,819.98,-42.65
111354,135445066002346,2309710725,58.53,61.32,-2.79,894.63,937.28,-42.65
111390,139045066002277,2309A50823,50.43,53.06,-2.63,770.79,810.99,-40.2
111378,137845066002040,2309130738,28.65,31.17,-2.52,437.91,476.43,-38.52
110246,24645066001274,2309N30722,27.84,29.82,-1.98,425.54,455.89,-30.35
110704,70445066002333,2309341018,60.51,62.39,-1.88,924.96,953.67,-28.71
110754,75445066001966,2309FA0832,45.7,47.47,-1.77,698.6,725.65,-27.05
110698,69845066002755,2309330862,57.13,58.8,-1.67,873.32,898.74,-25.42
110698,69845066002737,2309330787,37.34,38.95,-1.61,570.75,595.34,-24.59
110754,75445066001989,2309FA0924,34.71,36.32,-1.61,530.55,555.14,-24.59
110518,51845066001446,2309IO0753,33.8,35.35,-1.55,516.6,540.4,-23.8
111020,102045066002237,2309A60988,24.19,25.7,-1.51,369.79,392.79,-23.0
110246,24645066001283,2309N30784,35.24,36.74,-1.5,538.69,561.66,-22.97
111663,166345066001904,2309890958,9.98,11.48,-1.5,152.52,175.48,-22.96
111340,134045066001802,2309AM1156,20.76,22.26,-1.5,317.33,340.28,-22.95
111570,157045066002116,2309P10811,32.29,33.74,-1.45,493.61,515.77,-22.16
110567,56745066002974,2309O90673,27.36,28.75,-1.39,418.15,439.49,-21.34
111688,168845066001970,2309D40609,44.15,45.43,-1.28,674.81,694.48,-19.67
111570,157045066002146,2309P10975,19.64,20.92,-1.28,300.14,319.8,-19.66
111297,129745066002627,2309LY0875,23.12,24.36,-1.24,353.41,372.29,-18.88
110567,56745066003007,2309O90811,12.77,14.0,-1.23,195.15,214.02,-18.87
111354,135445066002333,2309710654,30.47,31.65,-1.18,465.72,483.79,-18.07
110678,67845066001973,2309H90850,24.84,26.02,-1.18,379.63,397.68,-18.05
111297,129745066002595,2309LY0718,24.35,25.53,-1.18,372.26,390.3,-18.04
111378,137845066002054,2309130803,25.11,26.29,-1.18,383.76,401.79,-18.03
111224,122445066001306,2309M20770,7.13,8.15,-1.02,109.04,124.64,-15.6
111372,137245066001914,2309AJ0895,8.37,9.28,-0.91,127.92,141.86,-13.94
111372,137245066001925,2309AJ0973,19.26,20.12,-0.86,294.35,307.48,-13.13
110242,24245066000929,2309BM0794,16.15,17.01,-0.86,246.84,259.97,-13.13
110641,64145066002071,2309AM1032,18.88,19.69,-0.81,288.63,300.94,-12.31
111101,110145066001755,2309A30851,13.63,14.43,-0.8,208.28,220.57,-12.29
111340,134045066001793,2309AM1058,21.24,21.99,-0.75,324.72,336.19,-11.47
111630,163045066001536,2309861008,7.24,7.94,-0.7,110.68,121.38,-10.7
110246,24645066001266,2309N30657,17.38,18.08,-0.7,265.67,276.34,-10.67
111297,129745066002620,2309LY0799,21.99,22.69,-0.7,336.18,346.85,-10.67
111688,168845066001965,2309D40554,29.07,29.72,-0.65,444.42,454.27,-9.85
111695,169545066001359,2309F90624,29.93,30.57,-0.64,457.46,467.29,-9.83
110518,51845066001433,2309IO0682,29.99,30.58,-0.59,458.37,467.4,-9.03
110843,84345066001883,2309070857,3.59,4.18,-0.59,54.93,63.95,-9.02
110704,70445066002322,2309340939,23.55,24.14,-0.59,360.0,369.01,-9.01
110970,97045066001882,2309AR1168,16.31,16.9,-0.59,249.28,258.29,-9.01
111695,169545066001350,2309F90573,4.67,5.2,-0.53,71.34,79.53,-8.19
111020,102045066002224,2309A60901,26.28,26.77,-0.49,401.77,409.18,-7.41
111340,134045066001779,2309AM0962,14.86,15.34,-0.48,227.11,234.5,-7.39
110704,70445066002303,2309340853,21.14,21.62,-0.48,323.07,330.45,-7.38
110843,84345066001909,2309071018,4.24,4.67,-0.43,64.78,71.34,-6.56
111630,163045066001513,2309860837,6.38,6.76,-0.38,97.57,103.33,-5.76
111663,166345066001889,2309890869,10.19,10.57,-0.38,155.8,161.54,-5.74
110843,84345066001892,2309070944,2.63,2.95,-0.32,40.17,45.09,-4.92
111355,135545066002113,2309410781,8.8,9.12,-0.32,134.5,139.41,-4.91
110678,67845066001992,2309H91008,9.87,10.17,-0.3,150.88,155.5,-4.62
111663,166345066001879,2309890792,6.22,6.49,-0.27,95.12,99.22,-4.1
111219,121945066001918,2309A50863,14.22,14.46,-0.24,217.31,220.96,-3.65
111384,138445066001752,2309A00918,2.79,3.0,-0.21,42.65,45.92,-3.27
111384,138445066001776,2309A01018,3.97,4.18,-0.21,60.69,63.96,-3.27
110242,24245066000922,2309BM0715,4.83,5.04,-0.21,73.79,77.06,-3.27
111384,138445066001786,2309A01116,2.04,2.25,-0.21,31.17,34.44,-3.27
111224,122445066001293,2309M20697,6.6,6.76,-0.16,100.86,103.33,-2.47
111355,135545066002080,2309410644,2.79,2.95,-0.16,42.64,45.1,-2.46
110776,77645066001559,2309P80679,6.06,6.2,-0.14,92.67,94.7,-2.03
111319,131945066001467,2309P10919,0.64,0.75,-0.11,9.84,11.48,-1.64
110035,3545066002214,2309BR0688,9.39,9.5,-0.11,143.51,145.15,-1.64
111349,134945066002565,2309470818,7.14,7.24,-0.1,109.07,110.7,-1.63
111101,110145066001767,2309A30938,6.17,6.28,-0.11,94.3,95.84,-1.54
110567,56745066003018,2309O90714,21.19,21.24,-0.05,323.86,324.72,-0.86
111369,136945066001245,2309160940,5.26,5.34,-0.08,80.36,80.36,0.0
111369,136945066001246,2309161030,2.47,2.52,-0.05,37.73,37.73,0.0
111390,139045066002314,2309A50997,64.21,67.16,-2.95,981.49,981.49,0.0
111648,164845066001593,2309AZ0742,11.8,12.02,-0.22,180.42,180.42,0.0
110970,97045066001869,2309AR1061,2.36,2.47,-0.11,36.08,36.08,0.0
111648,164845066001603,2309AZ0803,15.23,16.25,-1.02,232.85,232.85,0.0
110778,77845066002016,2309G30832,5.58,6.22,-0.64,85.27,85.27,0.0
111390,139045066002296,2309A50912,58.1,60.94,-2.84,888.04,888.04,0.0
110041,4145066002705,2309H90986,13.47,14.38,-0.91,205.84,205.84,0.0
110561,56145066002120,2309840829,21.02,22.58,-1.56,321.37,321.37,0.0
110517,51745066000968,2309CW0724,9.33,8.9,0.43,142.66,142.66,0.0
110706,70645066001534,2309620795,25.16,26.66,-1.5,384.53,384.53,0.0
110768,76845066001483,2309180735,14.22,14.59,-0.37,217.3,217.3,0.0
110778,77845066002038,2309G30902,15.93,16.31,-0.38,243.54,243.54,0.0
110273,27345066001590,2309BG0970,40.88,43.02,-2.14,624.81,624.81,0.0
110271,27145066001597,2309ME0843,26.23,26.66,-0.43,400.89,400.89,0.0
110271,27145066001587,2309ME0770,16.15,17.01,-0.86,246.82,246.82,0.0
110243,24345066001744,2309J40801,20.44,20.42,0.02,312.42,312.42,0.0
110243,24345066001730,2309J40738,11.37,11.79,-0.42,173.84,173.84,0.0
111219,121945066001943,2309A51031,0.64,0.7,-0.06,9.84,9.84,0.0
110576,57645066001295,2309BG0989,23.6,25.26,-1.66,360.74,360.74,0.0
110227,22745066001634,2309GP0629,17.81,18.88,-1.07,272.2,272.2,0.0
110132,13245066001703,23090I1160,4.29,4.61,-0.32,65.59,65.59,0.0
110041,4145066002700,2309H90904,3.54,3.97,-0.43,54.12,54.12,0.0
110275,27545066001586,23091S0759,24.03,22.82,1.21,367.34,367.34,0.0
110041,4145066002652,2309H90743,14.59,15.13,-0.54,223.02,223.02,0.0
110654,65445066002030,2309620744,2.74,2.9,-0.16,41.82,41.82,0.0
111335,133545066001181,23092O0738,8.1,8.21,-0.11,123.83,123.83,0.0
