บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด
"rOperationCode","rOperation_name","rDocNumber","rOrderDate","rCVCode","rCV_name","rRef_doc_number","rRef_doc_date_show","rSumNett","rTax_amt","rNett_amt_h","rInput_doc_number","rDoc_type_name","rTrn","rTRN_name"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002295","01/10/2566","11889","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3AB035665","01/10/2566","8907.40000000","0.00000000","8907.40000000","003544066002208","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002296","01/10/2566","12763","บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน)","2310BR0016","01/10/2566","78.94000000","5.53000000","84.47000000","","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002297","01/10/2566","11817","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3QG302024","01/10/2566","8464.35000000","0.00000000","8464.35000000","003544066002209","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002298","02/10/2566","11844","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3KM164507","02/10/2566","10869.49000000","0.00000000","10869.49000000","003544066002203","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002299","02/10/2566","11844","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3KM164508","02/10/2566","4091.10000000","0.00000000","4091.10000000","003544066002204","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002300","02/10/2566","11889","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3AB035813","02/10/2566","8048.73000000","0.00000000","8048.73000000","003544066002211","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002302","02/10/2566","13092","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)-113092","I3QP338502","02/10/2566","206.10000000","14.43000000","220.53000000","003544066002216","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002303","02/10/2566","12823","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3TB126959","02/10/2566","750.00000000","0.00000000","750.00000000","003544066002206","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002304","02/10/2566","12823","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","E3TB126960","02/10/2566","6750.00000000","0.00000000","6750.00000000","003544066002207","ใบรับสินค้า ","10","ซื้อในประเทศ"
"110035","CP Fresh Mart-ทิพวัลย์","003545066002305","02/10/2566","12823","บริษัท ซีพีเอฟ โกลบอล ฟู้ด โซลูชั่น จำกัด (มหาชน)","I3TB321866","02/10/2566","4668.24000000","230.59000000","4898.83000000","003544066002213","ใบรับสินค้า ","10","ซื้อในประเทศ"
