vendors,rDocNumber,rOperationCode,INV.no Check,Inv. Date Check,ExcludeVAT_diff,VAT_diff,IncludeVAT_diff
CP Axtra,661245066000048,6612,N/A,True,-72.43,72.43,0.0
CP Axtra,664745066000386,6647,N/A,True,-3.02,3.02,0.0
CP Axtra,225845066000021,2258,N/A,True,10.24,-10.24,0.0
CP Axtra,664745066000385,6647,N/A,True,-0.53,0.53,0.0
CP Axtra,507345066000161,5073,N/A,True,-0.41,0.41,0.0
CP Axtra,507345066000162,5073,N/A,True,-0.87,0.87,0.0
CP Axtra,505745066000403,5057,N/A,True,-3.27,3.27,0.0
CP Axtra,664745066000422,6647,N/A,True,-0.02,0.02,0.0
CP Axtra,664745066000418,6647,N/A,True,-1.64,1.64,0.0
CP Axtra,664745066000423,6647,N/A,True,-0.45,0.45,0.0
CP Axtra,507345066000175,5073,N/A,True,-0.74,0.74,0.0
CP Axtra,507345066000177,5073,N/A,True,16.5,0.0,16.5
CP Ram,056345066001599,110563,True,True,-0.01,0.01,0.0
CP Ram,280745066001592,112807,True,True,-0.01,0.01,0.0
CP Ram,110745066002817,111107,True,True,-0.01,0.01,0.0
CP Ram,103245066001866,111032,True,True,-0.01,0.01,0.0
CP Ram,131445066002082,111314,True,True,-2.66,2.66,0.0
President,003545066002565,110035,N/A,True,0.32,-0.32,0.0
President,013245066001961,110132,N/A,True,0.32,-0.32,0.0
President,022745066001908,110227,N/A,True,0.22,-0.22,0.0
President,024145066001242,110241,N/A,True,0.1,-0.1,0.0
President,026545066001556,110265,N/A,True,-2.4,2.4,0.0
President,027345066001814,110273,N/A,True,0.79,-0.79,0.0
President,027545066001801,110275,N/A,True,-2.97,2.97,0.0
President,030645066001380,110306,N/A,True,0.54,-0.54,0.0
President,051745066001139,110517,N/A,True,-1.81,1.81,0.0
President,051845066001690,110518,N/A,True,0.38,-0.38,0.0
President,056145066002348,110561,N/A,True,0.54,-0.54,0.0
President,056745066003423,110567,N/A,True,0.11,-0.11,0.0
President,057645066001468,110576,N/A,True,0.48,-0.48,0.0
President,064145066002388,110641,N/A,True,0.21,-0.21,0.0
President,069845066003120,110698,N/A,True,0.21,-0.21,0.0
President,075445066002324,110754,N/A,True,0.48,-0.48,0.0
President,076845066001678,110768,N/A,True,-0.05,0.05,0.0
President,077845066002294,110778,N/A,True,0.21,-0.21,0.0
President,097045066002122,110970,N/A,True,0.42,-0.42,0.0
President,102045066002540,111020,N/A,True,-0.38,0.38,0.0
President,129745066002979,111297,N/A,True,0.37,-0.37,0.0
President,135445066002670,111354,N/A,True,3.12,-3.12,0.0
President,136945066001410,111369,N/A,True,-0.03,0.03,0.0
President,138445066002066,111384,N/A,True,0.11,-0.11,0.0
President,139045066002672,111390,N/A,True,0.54,-0.54,0.0
President,157045066002458,111570,N/A,True,0.32,-0.32,0.0
President,163045066001739,111630,N/A,True,0.17,-0.17,0.0
President,164845066001826,111648,N/A,True,0.32,-0.32,0.0
President,166345066002172,111663,N/A,True,0.1,-0.1,0.0
President,004145066003035,110041,N/A,True,0.43,-0.43,0.0
President,024245066001062,110242,N/A,True,0.21,-0.21,0.0
President,024345066001947,110243,N/A,True,-0.41,0.41,0.0
President,024645066001472,110246,N/A,True,0.42,-0.42,0.0
President,027145066001797,110271,N/A,True,-0.05,0.05,0.0
President,028945066002093,110289,N/A,True,-9.0,9.0,0.0
President,033845066001936,110338,N/A,True,-1.33,1.33,0.0
President,056745066003412,110567,N/A,True,0.96,-0.96,0.0
President,067845066002247,110678,N/A,True,0.32,-0.32,0.0
President,070445066002606,110704,N/A,True,0.54,-0.54,0.0
President,070645066001741,110706,N/A,True,1.5,-1.5,0.0
President,077645066001745,110776,N/A,True,-0.36,0.36,0.0
President,084345066002163,110843,N/A,True,0.11,-0.11,0.0
President,100845066002778,111008,N/A,True,0.97,-0.97,0.0
President,102145066001931,111021,N/A,True,2.2,-2.2,0.0
President,110145066002055,111101,N/A,True,0.05,-0.05,0.0
President,121945066002241,111219,N/A,True,-0.02,0.02,0.0
President,122445066001474,111224,N/A,True,0.27,-0.27,0.0
President,131945066001687,111319,N/A,True,0.21,-0.21,0.0
President,133045066002161,111330,N/A,True,-0.77,0.77,0.0
President,133445066001472,111334,N/A,True,0.27,-0.27,0.0
President,133545066001382,111335,N/A,True,0.11,-0.11,0.0
President,134045066002069,111340,N/A,True,-2.89,2.89,0.0
President,134945066002937,111349,N/A,True,-0.21,0.21,0.0
President,135545066002504,111355,N/A,True,0.1,-0.1,0.0
President,137245066002195,111372,N/A,True,0.1,-0.1,0.0
President,137845066002334,111378,N/A,True,-0.38,0.38,0.0
President,138045066001682,111380,N/A,True,0.27,-0.27,0.0
President,168845066002263,111688,N/A,True,0.7,-0.7,0.0
President,169545066001541,111695,N/A,True,0.05,-0.05,0.0
President,003545066002553,110035,N/A,True,0.1,-0.1,0.0
President,003545066002551,110035,N/A,True,0.11,-0.11,0.0
President,004145066003001,110041,N/A,True,0.11,-0.11,0.0
President,004145066003023,110041,N/A,True,0.06,-0.06,0.0
President,013245066001939,110132,N/A,True,0.33,-0.33,0.0
President,013245066001947,110132,N/A,True,0.11,-0.11,0.0
President,022745066001882,110227,N/A,True,0.48,-0.48,0.0
President,022745066001892,110227,N/A,True,0.48,-0.48,0.0
President,024145066001223,110241,N/A,True,0.26,-0.26,0.0
President,024145066001230,110241,N/A,True,-0.48,0.48,0.0
President,024245066001051,110242,N/A,True,0.6,-0.6,0.0
President,024245066001057,110242,N/A,True,0.43,-0.43,0.0
President,024345066001930,110243,N/A,True,-0.3,0.3,0.0
President,024345066001939,110243,N/A,True,-0.41,0.41,0.0
President,024645066001457,110246,N/A,True,-5.66,5.66,0.0
President,024645066001468,110246,N/A,True,0.16,-0.16,0.0
President,026545066001542,110265,N/A,True,-1.56,1.56,0.0
President,026545066001548,110265,N/A,True,-1.66,1.66,0.0
President,027145066001778,110271,N/A,True,0.43,-0.43,0.0
President,027145066001789,110271,N/A,True,0.32,-0.32,0.0
President,027345066001799,110273,N/A,True,0.38,-0.38,0.0
President,027345066001806,110273,N/A,True,0.43,-0.43,0.0
President,027545066001783,110275,N/A,True,-0.67,0.67,0.0
President,027545066001791,110275,N/A,True,-0.97,0.97,0.0
President,028945066002067,110289,N/A,True,-5.18,5.18,0.0
President,028945066002084,110289,N/A,True,-6.35,6.35,0.0
President,030645066001369,110306,N/A,True,0.2,-0.2,0.0
President,033845066001920,110338,N/A,True,-0.28,0.28,0.0
President,033845066001927,110338,N/A,True,-1.27,1.27,0.0
President,051745066001124,110517,N/A,True,-0.03,0.03,0.0
President,051745066001131,110517,N/A,True,-0.69,0.69,0.0
President,051845066001676,110518,N/A,True,0.43,-0.43,0.0
President,051845066001677,110518,N/A,True,0.43,-0.43,0.0
President,056145066002331,110561,N/A,True,0.21,-0.21,0.0
President,056145066002335,110561,N/A,True,0.37,-0.37,0.0
President,056745066003380,110567,N/A,True,0.21,-0.21,0.0
President,056745066003391,110567,N/A,True,0.27,-0.27,0.0
President,056745066003402,110567,N/A,True,0.11,-0.11,0.0
President,056745066003405,110567,N/A,True,0.1,-0.1,0.0
President,057645066001455,110576,N/A,True,0.37,-0.37,0.0
President,057645066001460,110576,N/A,True,0.21,-0.21,0.0
President,064145066002366,110641,N/A,True,0.11,-0.11,0.0
President,064145066002374,110641,N/A,True,-0.97,0.97,0.0
President,067845066002225,110678,N/A,True,-1.45,1.45,0.0
President,067845066002236,110678,N/A,True,0.13,-0.13,0.0
President,069845066003084,110698,N/A,True,0.54,-0.54,0.0
President,069845066003103,110698,N/A,True,0.59,-0.59,0.0
President,070445066002586,110704,N/A,True,0.16,-0.16,0.0
President,070445066002604,110704,N/A,True,0.16,-0.16,0.0
President,070645066001726,110706,N/A,True,0.59,-0.59,0.0
President,070645066001734,110706,N/A,True,0.27,-0.27,0.0
President,075445066002302,110754,N/A,True,-0.1,0.1,0.0
President,075445066002313,110754,N/A,True,0.43,-0.43,0.0
President,076845066001658,110768,N/A,True,0.27,-0.27,0.0
President,076845066001665,110768,N/A,True,0.26,-0.26,0.0
President,077645066001735,110776,N/A,True,-0.4,0.4,0.0
President,077645066001739,110776,N/A,True,-1.67,1.67,0.0
President,077845066002275,110778,N/A,True,0.48,-0.48,0.0
President,084345066002139,110843,N/A,True,0.06,-0.06,0.0
President,084345066002151,110843,N/A,True,0.16,-0.16,0.0
President,097045066002102,110970,N/A,True,0.06,-0.06,0.0
President,097045066002110,110970,N/A,True,0.43,-0.43,0.0
President,100845066002757,111008,N/A,True,0.7,-0.7,0.0
President,100845066002766,111008,N/A,True,0.86,-0.86,0.0
President,102045066002521,111020,N/A,True,-0.37,0.37,0.0
President,102045066002529,111020,N/A,True,0.27,-0.27,0.0
President,102145066001908,111021,N/A,True,-0.48,0.48,0.0
President,102145066001918,111021,N/A,True,-0.4,0.4,0.0
President,110145066002031,111101,N/A,True,0.05,-0.05,0.0
President,110145066002045,111101,N/A,True,0.05,-0.05,0.0
President,121945066002212,111219,N/A,True,-0.13,0.13,0.0
President,121945066002233,111219,N/A,True,-0.16,0.16,0.0
President,122445066001460,111224,N/A,True,0.32,-0.32,0.0
President,122445066001466,111224,N/A,True,0.48,-0.48,0.0
President,129745066002942,111297,N/A,True,0.54,-0.54,0.0
President,129745066002955,111297,N/A,True,0.38,-0.38,0.0
President,131945066001680,111319,N/A,True,-0.37,0.37,0.0
President,133045066002139,111330,N/A,True,-1.44,1.44,0.0
President,133045066002145,111330,N/A,True,-0.6,0.6,0.0
President,133445066001460,111334,N/A,True,0.38,-0.38,0.0
President,133445066001466,111334,N/A,True,0.16,-0.16,0.0
President,134045066002049,111340,N/A,True,0.1,-0.1,0.0
President,134045066002061,111340,N/A,True,0.06,-0.06,0.0
President,134945066002906,111349,N/A,True,0.05,-0.05,0.0
President,134945066002923,111349,N/A,True,-0.21,0.21,0.0
President,135445066002662,111354,N/A,True,0.33,-0.33,0.0
President,135545066002470,111355,N/A,True,0.1,-0.1,0.0
President,135545066002485,111355,N/A,True,0.05,-0.05,0.0
President,136945066001403,111369,N/A,True,-0.21,0.21,0.0
President,136945066001404,111369,N/A,True,-0.06,0.06,0.0
President,137245066002174,111372,N/A,True,0.37,-0.37,0.0
